행정구역,연도,월,연령대,인구수
서울특별시,2008,4,10~19세,1282587
부산광역시,2008,4,10~19세,471391
대구광역시,2008,4,10~19세,368960
인천광역시,2008,4,10~19세,396475
광주광역시,2008,4,10~19세,226806
대전광역시,2008,4,10~19세,222520
울산광역시,2008,4,10~19세,176851
경기도,2008,4,10~19세,1617882
강원도,2008,4,10~19세,197890
충청북도,2008,4,10~19세,211053
충청남도,2008,4,10~19세,260330
전라북도,2008,4,10~19세,257295
전라남도,2008,4,10~19세,251992
경상북도,2008,4,10~19세,340555
경상남도,2008,4,10~19세,451380
제주특별자치도,2008,4,10~19세,81344
서울특별시,2008,4,20~29세,1721939
부산광역시,2008,4,20~29세,558127
대구광역시,2008,4,20~29세,367889
인천광역시,2008,4,20~29세,402107
광주광역시,2008,4,20~29세,217917
대전광역시,2008,4,20~29세,229264
울산광역시,2008,4,20~29세,160149
경기도,2008,4,20~29세,1583814
강원도,2008,4,20~29세,198228
충청북도,2008,4,20~29세,211938
충청남도,2008,4,20~29세,274295
전라북도,2008,4,20~29세,248221
전라남도,2008,4,20~29세,237228
경상북도,2008,4,20~29세,361817
경상남도,2008,4,20~29세,432994
제주특별자치도,2008,4,20~29세,74110
서울특별시,2008,4,30~39세,1918054
부산광역시,2008,4,30~39세,561676
대구광역시,2008,4,30~39세,418408
인천광역시,2008,4,30~39세,476970
광주광역시,2008,4,30~39세,247914
대전광역시,2008,4,30~39세,264543
울산광역시,2008,4,30~39세,196608
경기도,2008,4,30~39세,2143075
강원도,2008,4,30~39세,229652
충청북도,2008,4,30~39세,242423
충청남도,2008,4,30~39세,319528
전라북도,2008,4,30~39세,279329
전라남도,2008,4,30~39세,268052
경상북도,2008,4,30~39세,410819
경상남도,2008,4,30~39세,539859
제주특별자치도,2008,4,30~39세,94456
서울특별시,2008,4,40~49세,1718128
부산광역시,2008,4,40~49세,630712
대구광역시,2008,4,40~49세,452075
인천광역시,2008,4,40~49세,507894
광주광역시,2008,4,40~49세,237356
대전광역시,2008,4,40~49세,257562
울산광역시,2008,4,40~49세,215215
경기도,2008,4,40~49세,2046244
강원도,2008,4,40~49세,257642
충청북도,2008,4,40~49세,254775
충청남도,2008,4,40~49세,320545
전라북도,2008,4,40~49세,294593
전라남도,2008,4,40~49세,302231
경상북도,2008,4,40~49세,439644
경상남도,2008,4,40~49세,557074
제주특별자치도,2008,4,40~49세,93377
서울특별시,2008,4,50~59세,1311174
부산광역시,2008,4,50~59세,530126
대구광역시,2008,4,50~59세,313286
인천광역시,2008,4,50~59세,305239
광주광역시,2008,4,50~59세,150288
대전광역시,2008,4,50~59세,168818
울산광역시,2008,4,50~59세,129339
경기도,2008,4,50~59세,1164728
강원도,2008,4,50~59세,190192
충청북도,2008,4,50~59세,178528
충청남도,2008,4,50~59세,237355
전라북도,2008,4,50~59세,228040
전라남도,2008,4,50~59세,237632
경상북도,2008,4,50~59세,345545
경상남도,2008,4,50~59세,383212
제주특별자치도,2008,4,50~59세,61457
서울특별시,2008,4,60~69세,809236
부산광역시,2008,4,60~69세,319127
대구광역시,2008,4,60~69세,187806
인천광역시,2008,4,60~69세,173803
광주광역시,2008,4,60~69세,96364
