행정구역,연도,월,연령대,인구수
대전광역시,2018,09,40~49세,251831
울산광역시,2018,09,40~49세,196016
세종특별자치시,2018,09,40~49세,57148
경기도,2018,09,40~49세,2294800
강원도,2018,09,40~49세,235837
충청북도,2018,09,40~49세,249993
충청남도,2018,09,40~49세,332937
전라북도,2018,09,40~49세,283878
전라남도,2018,09,40~49세,273429
경상북도,2018,09,40~49세,402611
경상남도,2018,09,40~49세,555473
제주특별자치도,2018,09,40~49세,113985
서울특별시,2018,09,50~59세,1550400
부산광역시,2018,09,50~59세,595275
대구광역시,2018,09,50~59세,431001
인천광역시,2018,09,50~59세,513136
광주광역시,2018,09,50~59세,230073
대전광역시,2018,09,50~59세,242227
울산광역시,2018,09,50~59세,210035
세종특별자치시,2018,09,50~59세,37520
경기도,2018,09,50~59세,2131710
강원도,2018,09,50~59세,271994
충청북도,2018,09,50~59세,270298
충청남도,2018,09,50~59세,336382
전라북도,2018,09,50~59세,303671
전라남도,2018,09,50~59세,319143
경상북도,2018,09,50~59세,466779
경상남도,2018,09,50~59세,577669
제주특별자치도,2018,09,50~59세,107801
서울특별시,2018,09,60~69세,1132810
부산광역시,2018,09,60~69세,483295
대구광역시,2018,09,60~69세,289383
인천광역시,2018,09,60~69세,309057
광주광역시,2018,09,60~69세,143357
대전광역시,2018,09,60~69세,157146
울산광역시,2018,09,60~69세,122557
세종특별자치시,2018,09,60~69세,23437
경기도,2018,09,60~69세,1262024
강원도,2018,09,60~69세,203541
충청북도,2018,09,60~69세,190843
충청남도,2018,09,60~69세,244813
전라북도,2018,09,60~69세,229593
전라남도,2018,09,60~69세,243054
경상북도,2018,09,60~69세,360783
경상남도,2018,09,60~69세,398600
제주특별자치도,2018,09,60~69세,68724
서울특별시,2018,09,70~79세,655915
부산광역시,2018,09,70~79세,270153
대구광역시,2018,09,70~79세,162661
인천광역시,2018,09,70~79세,162813
광주광역시,2018,09,70~79세,86208
대전광역시,2018,09,70~79세,83905
울산광역시,2018,09,70~79세,52931
세종특별자치시,2018,09,70~79세,12381
경기도,2018,09,70~79세,702972
강원도,2018,09,70~79세,136436
충청북도,2018,09,70~79세,117887
충청남도,2018,09,70~79세,163731
전라북도,2018,09,70~79세,162578
전라남도,2018,09,70~79세,192150
경상북도,2018,09,70~79세,233952
경상남도,2018,09,70~79세,231835
제주특별자치도,2018,09,70~79세,43514
서울특별시,2018,09,80~89세,235028
부산광역시,2018,09,80~89세,96833
대구광역시,2018,09,80~89세,65983
인천광역시,2018,09,80~89세,66979
광주광역시,2018,09,80~89세,34456
대전광역시,2018,09,80~89세,35476
울산광역시,2018,09,80~89세,19355
세종특별자치시,2018,09,80~89세,6093
경기도,2018,09,80~89세,293901
강원도,2018,09,80~89세,61324
충청북도,2018,09,80~89세,57934
충청남도,2018,09,80~89세,90336
전라북도,2018,09,80~89세,82477
전라남도,2018,09,80~89세,97978
경상북도,2018,09,80~89세,118544
경상남도,2018,09,80~89세,109622
제주특별자치도,2018,09,80~89세,21094
서울특별시,2018,09,90~99세,35565
부산광역시,2018,09,90~99세,12440
대구광역시,2018,09,90~99세,7668
인천광역시,2018,09,90~99세,9958
광주광역시,2018,09,90~99세,4719
대전광역시,2018,09,90~99세,4911
울산광역시,2018,09,90~99세,2559
세종특별자치시,2018,09,90~99세,858
경기도,2018,09,90~99세,41604
강원도,2018,09,90~99세,9236
충청북도,2018,09,90~99세,7415
충청남도,2018,09,90~99세,11771
전라북도,2018,09,90~99세,11174
전라남도,2018,09,90~99세,12807
경상북도,2018,09,90~99세,15698
경상남도,2018,09,90~99세,13641
제주특별자치도,2018,09,90~99세,3294
서울특별시,2018,09,100세 이상,5767
부산광역시,2018,09,100세 이상,1647
대구광역시,2018,09,100세 이상,626
인천광역시,2018,09,100세 이상,817
광주광역시,2018,09,100세 이상,367
대전광역시,2018,09,100세 이상,316
울산광역시,2018,09,100세 이상,158
세종특별자치시,2018,09,100세 이상,53
경기도,2018,09,100세 이상,3546
강원도,2018,09,100세 이상,709
충청북도,2018,09,100세 이상,513
충청남도,2018,09,100세 이상,776
전라북도,2018,09,100세 이상,730
전라남도,2018,09,100세 이상,779
경상북도,2018,09,100세 이상,852
경상남도,2018,09,100세 이상,677
제주특별자치도,2018,09,100세 이상,249
서울특별시,2018,10,0~9세,695545
부산광역시,2018,10,0~9세,252724
대구광역시,2018,10,0~9세,195858
인천광역시,2018,10,0~9세,252601
광주광역시,2018,10,0~9세,132039
대전광역시,2018,10,0~9세,129590
울산광역시,2018,10,0~9세,109057
세종특별자치시,2018,10,0~9세,44088
경기도,2018,10,0~9세,1212441
강원도,2018,10,0~9세,113309
충청북도,2018,10,0~9세,134066
충청남도,2018,10,0~9세,189863
전라북도,2018,10,0~9세,145005
전라남도,2018,10,0~9세,146124
경상북도,2018,10,0~9세,208875
경상남도,2018,10,0~9세,298541
제주특별자치도,2018,10,0~9세,64027
서울특별시,2018,10,10~19세,862097
부산광역시,2018,10,10~19세,298048
대구광역시,2018,10,10~19세,251472
인천광역시,2018,10,10~19세,293681
광주광역시,2018,10,10~19세,173186
대전광역시,2018,10,10~19세,161611
울산광역시,2018,10,10~19세,122174
세종특별자치시,2018,10,10~19세,36176
경기도,2018,10,10~19세,1391928
강원도,2018,10,10~19세,151250
충청북도,2018,10,10~19세,160739
충청남도,2018,10,10~19세,214457
전라북도,2018,10,10~19세,192045
전라남도,2018,10,10~19세,184464
경상북도,2018,10,10~19세,246167
경상남도,2018,10,10~19세,347440
제주특별자치도,2018,10,10~19세,73886
서울특별시,2018,10,20~29세,1452306
부산광역시,2018,10,20~29세,447087
대구광역시,2018,10,20~29세,332288
인천광역시,2018,10,20~29세,410064
광주광역시,2018,10,20~29세,206414
대전광역시,2018,10,20~29세,214483
울산광역시,2018,10,20~29세,154269
세종특별자치시,2018,10,20~29세,33523
경기도,2018,10,20~29세,1746279
강원도,2018,10,20~29세,182920
충청북도,2018,10,20~29세,200588
충청남도,2018,10,20~29세,247915
전라북도,2018,10,20~29세,217985
전라남도,2018,10,20~29세,205414
경상북도,2018,10,20~29세,300198
경상남도,2018,10,20~29세,395084
제주특별자치도,2018,10,20~29세,81654
서울특별시,2018,10,30~39세,1553907
부산광역시,2018,10,30~39세,457273
대구광역시,2018,10,30~39세,319241
인천광역시,2018,10,30~39세,434470
광주광역시,2018,10,30~39세,201758
대전광역시,2018,10,30~39세,210493
울산광역시,2018,10,30~39세,167023
세종특별자치시,2018,10,30~39세,57966
경기도,2018,10,30~39세,1946765
강원도,2018,10,30~39세,176066
충청북도,2018,10,30~39세,206095
충청남도,2018,10,30~39세,289872
전라북도,2018,10,30~39세,209544
전라남도,2018,10,30~39세,205592
경상북도,2018,10,30~39세,321150
경상남도,2018,10,30~39세,444237
제주특별자치도,2018,10,30~39세,87864
서울특별시,2018,10,40~49세,1598125
부산광역시,2018,10,40~49세,529111
대구광역시,2018,10,40~49세,406257
인천광역시,2018,10,40~49세,495961
광주광역시,2018,10,40~49세,247585
대전광역시,2018,10,40~49세,250770
울산광역시,2018,10,40~49세,195323
세종특별자치시,2018,10,40~49세,57562
경기도,2018,10,40~49세,2291016
강원도,2018,10,40~49세,235020
